node_id,x,y,z,scalar_flux,angular_flux_0,direction_cosine_0,angular_flux_1,direction_cosine_1,angular_flux_2,direction_cosine_2,angular_flux_3,direction_cosine_3,angular_flux_4,direction_cosine_4,angular_flux_5,direction_cosine_5,angular_flux_6,direction_cosine_6,angular_flux_7,direction_cosine_7
45,-0.0068875909721397288,0,0,3.9995825355803509,1.1168859549445285,-0.96028985649753629,0.62352148174277933,-0.79666647741362695,0.19254812308054159,-0.52553240991632888,0.01696507343906534,-0.18343464249564972,0.016965073441425067,0.18343464249564986,0.19254812308691355,0.52553240991632899,0.62352148175102229,0.79666647741362684,1.116885954953331,0.96028985649753629
46,-0.022590084794499157,0,0,3.9955107192600288,1.1157488976515173,-0.96028985649753629,0.62288669924806772,-0.79666647741362695,0.19235209746703014,-0.52553240991632888,0.016947801967254376,-0.18343464249564972,0.016947801974993081,0.18343464249564986,0.19235209748793641,0.52553240991632899,0.62288669927513873,0.79666647741362684,1.1157488976804539,0.96028985649753629
47,-0.045890480871017422,0,0,3.9814929279591258,1.1118344205493136,-0.96028985649753629,0.62070137266228786,-0.79666647741362695,0.19167725217301804,-0.52553240991632888,0.016888342540110967,-0.18343464249564972,0.016888342555827066,0.18343464249564986,0.19167725221548057,0.52553240991632899,0.62070137271727555,0.79666647741362684,1.1118344206081006,0.96028985649753629
48,-0.075058632379331386,0,0,3.9506026691435085,1.1032082962177503,-0.96028985649753629,0.61588568506959029,-0.79666647741362695,0.19019013161308393,-0.52553240991632888,0.016757314976593825,-0.18343464249564972,0.016757315002282645,0.18343464249564986,0.19019013168249677,0.52553240991632899,0.61588568515945519,0.79666647741362684,1.1032082963138203,0.96028985649753629
49,-0.10793088339313406,0,0,3.8982573772801556,1.0885908403345488,-0.96028985649753629,0.60772522989956346,-0.79666647741362695,0.18767012166520231,-0.52553240991632888,0.016535281357301507,-0.18343464249564972,0.016535281394200886,0.18343464249564986,0.18767012176491513,0.52553240991632899,0.60772523002858669,0.79666647741362684,1.088590840472458,0.96028985649753629
50,-0.14206911660686594,0,0,3.8246899980351459,1.068047103125801,-0.96028985649753629,0.59625632260043848,-0.79666647741362695,0.18412843681366733,-0.52553240991632888,0.016223229770958247,-0.18343464249564972,0.016223229819454933,0.18343464249564986,0.18412843694473138,0.52553240991632899,0.59625632276989193,0.79666647741362684,1.068047103306877,0.96028985649753629
51,-0.17494136762066861,0,0,3.7359730341031456,1.0432728348114841,-0.96028985649753629,0.58242564594356683,-0.79666647741362695,0.17985741981988543,-0.52553240991632888,0.015846918021080944,-0.18343464249564972,0.015846918080689675,0.18343464249564986,0.17985741998099367,0.52553240991632899,0.58242564615165349,0.79666647741362684,1.0432728350337692,0.96028985649753629
52,-0.20410951912898256,0,0,3.6431746206707132,1.0173588191447418,-0.96028985649753629,0.56795868502316882,-0.79666647741362695,0.1753899134605918,-0.52553240991632888,0.015453293941698325,-0.18343464249564972,0.01545329401111302,0.18343464249564986,0.17538991364821407,0.52553240991632899,0.56795868526523563,0.79666647741362684,1.0173588194032317,0.96028985649753629
53,-0.22740991520550086,0,0,3.5599637305021781,0.99412212541732514,-0.96028985649753629,0.55498638677432477,-0.79666647741362695,0.17138397017869347,-0.52553240991632888,0.015100337368743793,-0.18343464249564972,0.015100337445950879,0.18343464249564986,0.17138397038738304,0.52553240991632899,0.55498638704329983,0.79666647741362684,0.99412212570445346,0.96028985649753629
54,-0.24311240902786027,0,0,3.4995313302350182,0.97724633940756178,-0.96028985649753629,0.54556517858254772,-0.79666647741362695,0.16847463021948808,-0.52553240991632888,0.014844000574039456,-0.18343464249564972,0.014844000656475956,0.18343464249564986,0.1684746304423127,0.52553240991632899,0.54556517886952505,0.79666647741362684,0.97724633971383212,0.96028985649753629
55,-0.25,0,0,3.4719531907247698,0.96954512650096958,-0.96028985649753629,0.54126583927598682,-0.79666647741362695,0.16714696190059897,-0.52553240991632888,0.014727022068294416,-0.18343464249564972,0.014727022153018909,0.18343464249564986,0.16714696212960672,0.52553240991632899,0.54126583957082486,0.79666647741362684,0.96954512681559324,0.96028985649753629
56,-0.25688759097213976,0,0,3.4437369298359357,0.96166571779575294,-0.96028985649753629,0.53686701899023093,-0.79666647741362695,0.16578857310706108,-0.52553240991632888,0.01460733683593368,-0.18343464249564972,0.014607336922942566,0.18343464249564986,0.16578857334224131,0.52553240991632899,0.53686701929290703,0.79666647741362684,0.96166571811870227,0.96028985649753629
57,-0.27259008479449914,0,0,3.3770804906685692,0.94305186498598903,-0.96028985649753629,0.5264755040431579,-0.79666647741362695,0.16257959512339323,-0.52553240991632888,0.014324599465549721,-0.18343464249564972,0.014324599557752952,0.18343464249564986,0.1625795953726043,0.52553240991632899,0.52647550436361534,0.79666647741362684,0.94305186532781315,0.96028985649753629
58,-0.29589048087101744,0,0,3.27244549534359,0.91383247634145515,-0.96028985649753629,0.51016325977328303,-0.79666647741362695,0.15754225138788711,-0.52553240991632888,0.013880768025230588,-0.18343464249564972,0.013880768125105957,0.18343464249564986,0.15754225165780636,0.52553240991632899,0.51016326011988611,0.79666647741362684,0.91383247671099965,0.96028985649753629
