node_id,x,y,z,scalar_flux,angular_flux_0,direction_cosine_0,angular_flux_1,direction_cosine_1,angular_flux_2,direction_cosine_2,angular_flux_3,direction_cosine_3
48,-0.075058632379331386,0,0,3.9506026695018628,0.78189066423751796,-0.86113631159405268,0.065007790445688385,-0.33998104358485637,0.065007790492933412,0.33998104358485631,0.78189066432942989,0.86113631159405257
49,-0.10793088339313406,0,0,3.8982573776386733,0.77153065123008913,-0.86113631159405268,0.064146440387364598,-0.33998104358485637,0.064146440455251433,0.33998104358485631,0.7715306513620156,0.86113631159405257
50,-0.14206911660686594,0,0,3.8246899983939127,0.75697043046554957,-0.86113631159405268,0.062935877527838274,-0.33998104358485637,0.06293587761710695,0.33998104358485631,0.75697043063876202,0.86113631159405257
51,-0.17494136762066861,0,0,3.7359730344622477,0.73941185228461759,-0.86113631159405268,0.061476025859231717,-0.33998104358485637,0.061476025969021769,0.33998104358485631,0.73941185249724506,0.86113631159405257
52,-0.20410951912898256,0,0,3.6431746210302087,0.72104548665590651,-0.86113631159405268,0.059949013295544071,-0.33998104358485637,0.059949013423476874,0.33998104358485631,0.7210454869031645,0.86113631159405257
53,-0.22740991520550086,0,0,3.5599637308620649,0.70457665301485539,-0.86113631159405268,0.058579764943882111,-0.33998104358485637,0.058579765086257465,0.33998104358485631,0.7045766532895068,0.86113631159405257
54,-0.24311240902786027,0,0,3.4995313305952127,0.69261606535071107,-0.86113631159405268,0.057585340244811878,-0.33998104358485637,0.057585340396892989,0.33998104358485631,0.69261606564367273,0.86113631159405257
55,-0.25,0,0,3.4719531910851118,0.68715788805245814,-0.86113631159405268,0.057131537599944153,-0.33998104358485637,0.057131537756275282,0.33998104358485631,0.68715788835341018,0.86113631159405257
56,-0.25688759097213976,0,0,3.4437369301964313,0.68157341580894681,-0.86113631159405268,0.056667234566987884,-0.33998104358485637,0.056667234727564478,0.33998104358485631,0.68157341611786282,0.86113631159405257
57,-0.27259008479449914,0,0,3.3770804910294498,0.66838098624361131,-0.86113631159405268,0.055570392324604805,-0.33998104358485637,0.055570392494843059,0.33998104358485631,0.66838098657058187,0.86113631159405257
58,-0.29589048087101744,0,0,3.2724454957051288,0.6476719621329281,-0.86113631159405268,0.05384860693823585,-0.33998104358485637,0.053848607122765194,0.33998104358485631,0.64767196248641357,0.86113631159405257
59,-0.32505863237933141,0,0,3.132452497476959,0.61996499500825486,-0.86113631159405268,0.051545000026425175,-0.33998104358485637,0.051545000228765438,0.33998104358485631,0.61996499539442751,0.86113631159405257
60,-0.35793088339313406,0,0,2.9638143529832774,0.58658867201727793,-0.86113631159405268,0.048770032706621391,-0.33998104358485637,0.048770032928926843,0.33998104358485631,0.58658867243954838,0.86113631159405257
61,-0.39206911660686594,0,0,2.7780381598374442,0.54982044117004814,-0.86113631159405268,0.045713056088987777,-0.33998104358485637,0.045713056331906962,0.33998104358485631,0.54982044162888888,0.86113631159405257
62,-0.42494136762066859,0,0,2.5905601066649817,0.5127153836214503,-0.86113631159405268,0.042628075096906387,-0.33998104358485637,0.042628075359563228,0.33998104358485631,0.51271538411453244,0.86113631159405257
63,-0.45410951912898256,0,0,2.4185419222833238,0.47867009393048426,-0.86113631159405268,0.039797488689941062,-0.33998104358485637,0.039797488970026565,0.33998104358485631,0.47867009445307851,0.86113631159405257
64,-0.47740991520550086,0,0,2.2781768758831511,0.4508894922200441,-0.86113631159405268,0.03748775967113735,-0.33998104358485637,0.03748775996509416,0.33998104358485631,0.45088949276558071,0.86113631159405257
65,-0.49311240902786024,0,0,2.1824671801426376,0.43194693489947045,-0.86113631159405268,0.035912841504192293,-0.33998104358485637,0.035912841807474817,0.33998104358485631,0.43194693546013302,0.86113631159405257
66,-0.5,0,0,2.1402661933071032,0.42359465035879407,-0.86113631159405268,0.035218417597537799,-0.33998104358485637,0.035218417904905881,0.33998104358485631,0.42359465092600279,0.86113631159405257
67,-0.50688759097213976,0,0,2.0979564655100802,0.41522084415423011,-0.86113631159405268,0.034522204341241119,-0.33998104358485637,0.034522204652691978,0.33998104358485631,0.41522084472792953,0.86113631159405257
68,-0.5225900847944992,0,0,2.0011869098277772,0.39606852273811272,-0.86113631159405268,0.032929846012083354,-0.33998104358485637,0.032929846332833128,0.33998104358485631,0.39606852332639841,0.86113631159405257
69,-0.54589048087101744,0,0,1.8571843107630797,0.36756798821900677,-0.86113631159405268,0.030560260491477125,-0.33998104358485637,0.030560260826007376,0.33998104358485631,0.36756798882837671,0.86113631159405257
70,-0.57505863237933141,0,0,1.6772116949402651,0.33194838285560274,-0.86113631159405268,0.027598782662831865,-0.33998104358485637,0.027598783014598408,0.33998104358485631,0.33194838349037353,0.86113631159405257
71,-0.60793088339313406,0,0,1.4764498588540014,0.29221424140738039,-0.86113631159405268,0.024295214931731569,-0.33998104358485637,0.024295215302934842,0.33998104358485631,0.29221424206936797,0.86113631159405257
72,-0.64206911660686594,0,0,1.2724284760798295,0.25183498088459577,-0.86113631159405268,0.020938010846940747,-0.33998104358485637,0.020938011238389509,0.33998104358485631,0.25183498157315276,0.86113631159405257
73,-0.67494136762066859,0,0,1.0824663462476918,0.21423828280053525,-0.86113631159405268,0.017812153992598615,-0.33998104358485637,0.017812154403657243,0.33998104358485631,0.21423828351292276,0.86113631159405257
74,-0.70410951912898256,0,0,0.92099002251906414,0.18227940448545163,-0.86113631159405268,0.01515503557960367,-0.33998104358485637,0.015155036008211081,0.33998104358485631,0.18227940521744265,0.86113631159405257
75,-0.72740991520550091,0,0,0.79783242468633253,0.1579044460247116,-0.86113631159405268,0.013128457855454441,-0.33998104358485637,0.013128458298218565,0.33998104358485631,0.15790444677125631,0.86113631159405257
76,-0.74311240902786024,0,0,0.71817808801852867,0.14213951408457987,-0.86113631159405268,0.011817733165672077,-0.33998104358485637,0.011817733618063013,0.33998104358485631,0.14213951484035123,0.86113631159405257
77,-0.75,0,0,0.68416046021176724,0.13540685382252962,-0.86113631159405268,0.011257967727908439,-0.33998104358485637,0.011257968184547152,0.33998104358485631,0.13540685458219553,0.86113631159405257
78,-0.75688759097213976,0,0,0.65073260480549711,0.12879091943021148,-0.86113631159405268,0.010707907088291932,-0.33998104358485637,0.01070790754919511,0.33998104358485631,0.12879092019367691,0.86113631159405257
79,-0.7725900847944992,0,0,0.5768325111146102,0.11416484888062765,-0.86113631159405268,0.0094918693769677851,-0.33998104358485637,0.0094918698476608547,0.33998104358485631,0.11416484965239254,0.86113631159405257
80,-0.79589048087101744,0,0,0.47350673075689531,0.093714940390365389,-0.86113631159405268,0.0077916273465981059,-0.33998104358485637,0.0077916278320138439,0.33998104358485631,0.093714941173485403,0.86113631159405257
81,-0.82505863237933141,0,0,0.3558540555988351,0.070429498624627912,-0.86113631159405268,0.0058556340033715211,-0.33998104358485637,0.0058556345076084277,0.33998104358485631,0.070429499420264316,0.86113631159405257
82,-0.85793088339313406,0,0,0.24053947306227186,0.047606804671861111,-0.86113631159405268,0.003958114348416873,-0.33998104358485637,0.0039581148745003415,0.33998104358485631,0.047606805479195269,0.86113631159405257
83,-0.89206911660686594,0,0,0.14226701579190243,0.028157033715255516,-0.86113631159405268,0.0023410255614442115,-0.33998104358485637,0.0023410261110931451,0.33998104358485631,0.028157034531837918,0.86113631159405257
84,-0.92494136762066859,0,0,0.070369917050273068,0.013927389479010274,-0.86113631159405268,0.0011579474687879497,-0.33998104358485637,0.0011579480421630196,0.33998104358485631,0.013927390301487727,0.86113631159405257
85,-0.95410951912898256,0,0,0.026812240187704561,0.0053065931152070896,-0.86113631159405268,0.000441199040611049,-0.33998104358485637,0.00044119963606045634,0.33998104358485631,0.0053065939402530179,0.86113631159405257
86,-0.97740991520550091,0,0,0.0065934070597380382,0.0013049461755631606,-0.86113631159405268,0.00010849497025805917,-0.33998104358485637,0.00010849558414790081,0.33998104358485631,0.0013049470007379608,0.86113631159405257
87,-0.99311240902786024,0,0,0.00061885453552011356,0.0001224817782288679,-0.86113631159405268,1.0182781259260781e-05,-0.33998104358485637,1.0183408032263207e-05,0.33998104358485631,0.00012248260247341297,0.86113631159405257
88,-1,0,0,-4.3919332888400696e-09,-8.2357059600611378e-10,-0.86113631159405268,-6.3254939767471606e-10,-0.33998104358485637,-9.6427620919246725e-17,0.33998104358485631,-2.250150291629483e-15,0.86113631159405257
