node_id,x,y,z,scalar_flux,angular_flux_0,direction_cosine_0,angular_flux_1,direction_cosine_1
51,-0.17494136762066861,0,0,2.3357352442284363,0.17908061931994221,-0.57735026918962573,0.19266319055296874,0.57735026918962573
52,-0.20410951912898256,0,0,2.2728365495650946,0.17305151355184864,-0.57735026918962573,0.18868165815136367,0.57735026918962573
53,-0.22740991520550086,0,0,2.2164436685354518,0.16778078234466956,-0.57735026918962573,0.18497718358748191,0.57735026918962573
54,-0.24311240902786027,0,0,2.1754927385159535,0.16401332902350815,-0.57735026918962573,0.18222709397182993,0.57735026918962573
55,-0.25,0,0,2.1568063057884337,0.16230831245932315,-0.57735026918962573,0.18095807239867592,0.57735026918962573
56,-0.25688759097213976,0,0,2.1376884349342338,0.16057219449692756,-0.57735026918962573,0.17965148671323317,0.57735026918962573
57,-0.27259008479449914,0,0,2.092529429656472,0.15650139089808449,-0.57735026918962573,0.17653501139700742,0.57735026918962573
58,-0.29589048087101744,0,0,2.0216522457789985,0.15018652503850044,-0.57735026918962573,0.17156942309005838,0.57735026918962573
59,-0.32505863237933141,0,0,1.9268494751472272,0.14185756576252712,-0.57735026918962573,0.16481005280117814,0.57735026918962573
60,-0.35793088339313406,0,0,1.812691740715473,0.13197362817596497,-0.57735026918962573,0.15652522266075478,0.57735026918962573
61,-0.39206911660686594,0,0,1.6869968896287855,0.12124191503471073,-0.57735026918962573,0.14725197893036299,0.57735026918962573
62,-0.42494136762066859,0,0,1.5602318561710127,0.11055436288043237,-0.57735026918962573,0.1377642493986273,0.57735026918962573
63,-0.45410951912898256,0,0,1.444005898859096,0.10086018252270643,-0.57735026918962573,0.12896049413457411,0.57735026918962573
64,-0.47740991520550086,0,0,1.3492384625730756,0.093023384797147099,-0.57735026918962573,0.12171458593106707,0.57735026918962573
65,-0.49311240902786024,0,0,1.2846625163853318,0.087716022232206994,-0.57735026918962573,0.11674436745539152,0.57735026918962573
66,-0.5,0,0,1.2562012729404057,0.08538500548467659,-0.57735026918962573,0.11454563662212008,0.57735026918962573
67,-0.50688759097213976,0,0,1.2276745703372713,0.083053544346664218,-0.57735026918962573,0.11233693203073122,0.57735026918962573
68,-0.5225900847944992,0,0,1.162460806747311,0.077741895011856785,-0.57735026918962573,0.10726948853257022,0.57735026918962573
69,-0.54589048087101744,0,0,1.0655069584326411,0.069891004596058015,-0.57735026918962573,0.099689694737307419,0.57735026918962573
70,-0.57505863237933141,0,0,0.94451448540443173,0.060169431169831096,-0.57735026918962573,0.090154718004182011,0.57735026918962573
71,-0.60793088339313406,0,0,0.80983645527955428,0.049447112403650018,-0.57735026918962573,0.079442362550109641,0.57735026918962573
72,-0.64206911660686594,0,0,0.67337712713956377,0.038691839916269059,-0.57735026918962573,0.068479458433012161,0.57735026918962573
73,-0.67494136762066859,0,0,0.54680958468303853,0.028819990480849329,-0.57735026918962573,0.058207457851482562,0.57735026918962573
74,-0.70410951912898256,0,0,0.43971954992885731,0.020552773138237904,-0.57735026918962573,0.049430766807083186,0.57735026918962573
75,-0.72740991520550091,0,0,0.35845141010589687,0.014337599786154058,-0.57735026918962573,0.042711713990459588,0.57735026918962573
76,-0.74311240902786024,0,0,0.30613083486403192,0.01036639134436171,-0.57735026918962573,0.03835584425709769,0.57735026918962573
77,-0.75,0,0,0.28385527210827283,0.0086835214464863839,-0.57735026918962573,0.036493448232240232,0.57735026918962573
78,-0.75688759097213976,0,0,0.26201103229979406,0.0070381319798730546,-0.57735026918962573,0.034662218955249409,0.57735026918962573
79,-0.7725900847944992,0,0,0.21389899711532886,0.0034326022252478602,-0.57735026918962573,0.030610480488055782,0.57735026918962573
80,-0.79589048087101744,0,0,0.14713884848015726,-0.0015223725869459438,-0.57735026918962573,0.024940247643412378,0.57735026918962573
81,-0.82505863237933141,0,0,0.072126736940817365,-0.0070054053494085803,-0.57735026918962573,0.018484732062628472,0.57735026918962573
82,-0.85793088339313406,0,0,0.00025897739946630083,-0.012136542723429559,-0.57735026918962573,0.012177760256703704,0.57735026918962573
83,-0.89206911660686594,0,0,-0.058581147350345475,-0.016179704137483833,-0.57735026918962573,0.0068562249646816655,0.57735026918962573
84,-0.92494136762066859,0,0,-0.09846649027818935,-0.018728663347955712,-0.57735026918962573,0.0030572346912718248,0.57735026918962573
85,-0.95410951912898256,0,0,-0.11886229312964024,-0.019805079786007481,-0.57735026918962573,0.00088755828718741262,0.57735026918962573
86,-0.97740991520550091,0,0,-0.12430890162007527,-0.019817550516422866,-0.57735026918962573,3.3174353263776533e-05,0.57735026918962573
87,-0.99311240902786024,0,0,-0.12226472639624335,-0.019383494910478149,-0.57735026918962573,-7.5540661262108965e-05,0.57735026918962573
88,-1,0,0,-0.11986887970069672,-0.019077724727250993,-0.57735026918962573,-2.6365621207836805e-15,0.57735026918962573
